1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,0,0,0.6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.8,0,0,0,0,0,0,0,0,1
0,0,0.8,0,0,0,0,0,0,0,0,0,0
0.6,0,0,0,0,0.6,0,0.6,0,0,0,0,0
0,0,0,0,0.6,0,0.8,0,0.8,0,0,0,0
0,0,0,0,0,0.8,0,0,0,0.8,0,0,0
0,0,0,0,0.6,0,0,0,0,0,0,0,0
0,0,0,0,0,0.8,0,0,0,0,0,0,0
0,0,0,0,0,0,0.8,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0.8,0
0,0,0,0,0,0,0,0,0,0,0.8,0,0.8
0,0,1,0,0,0,0,0,0,0,0,0.8,0
0,0,0,0,0.151515152,0,0,0,0,0,0,0,0
0,0,0,0.909090909,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.757575758
0,0.909090909,1,0,0,0,0,0,0,0,0,0,0
0.151515152,0,0,0,0,0.242424242,0,0,0,0,0,0,0
0,0,0,0,0.242424242,0,0.242424242,0,0.212121212,0,0,0,0
0,0,0,0,0,0.242424242,0,0,0,0.303030303,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.212121212,0,0,0,0,0,0,0
0,0,0,0,0,0,0.303030303,0,0,0,0.575757576,0,0
0,0,0,0,0,0,0,0,0,0.575757576,0,0.636363636,0
0,0,0,0,0,0,0,0,0,0,0.636363636,0,0.696969697
0,0,0.757575758,0,0,0,0,0,0,0,0,0.696969697,0
0,0,0,0,0.666666667,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.583333333,0,0,0,0,0,0,0,0,0.333333333
0,0,0.583333333,0,0,0,0,0,0,0,0,0,0
0.666666667,0,0,0,0,0.416666667,0,1,0,0,0,0,0
0,0,0,0,0.416666667,0,0.5,0,0.583333333,0,0,0,0
0,0,0,0,0,0.5,0,0,0,0.333333333,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0.583333333,0,0,0,0,0,0,0
0,0,0,0,0,0,0.333333333,0,0,0,0.333333333,0,0
0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0
0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333
0,0,0.333333333,0,0,0,0,0,0,0,0,0.333333333,0
0,0,0,0,0.952380952,0,0,0,0,0,0,0,0
0,0,0,0.619047619,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.19047619
0,0.619047619,0,0,0,0,0,0,0,0,0,0,0
0.952380952,0,0,0,0,0.952380952,0,1,0,0,0,0,0
0,0,0,0,0.952380952,0,0.857142857,0,0.80952381,0,0,0,0
0,0,0,0,0,0.857142857,0,0,0,0.857142857,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0.80952381,0,0,0,0,0,0,0
0,0,0,0,0,0,0.857142857,0,0,0,0.428571429,0,0
0,0,0,0,0,0,0,0,0,0.428571429,0,0.333333333,0
0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333
0,0,0.19047619,0,0,0,0,0,0,0,0,0.333333333,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.769230769,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.923076923
0,0.769230769,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.230769231,0,0.307692308,0,0,0,0
0,0,0,0,0,0.230769231,0,0,0,0.461538462,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.307692308,0,0,0,0,0,0,0
0,0,0,0,0,0,0.461538462,0,0,0,0.538461538,0,0
0,0,0,0,0,0,0,0,0,0.538461538,0,0.615384615,0
0,0,0,0,0,0,0,0,0,0,0.615384615,0,0.769230769
0,0,0.923076923,0,0,0,0,0,0,0,0,0.769230769,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.571428571,0,0,0,0,0,0,0,0,0
0,0,0,0.428571429,0,0,0,0,0,0,0,0,0.142857143
0,0.571428571,0.428571429,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0.571428571,0,0.571428571,0,0,0,0
0,0,0,0,0,0.571428571,0,0,0,0.142857143,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.571428571,0,0,0,0,0,0,0
0,0,0,0,0,0,0.142857143,0,0,0,0.285714286,0,0
0,0,0,0,0,0,0,0,0,0.285714286,0,0.142857143,0
0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.142857143
0,0,0.142857143,0,0,0,0,0,0,0,0,0.142857143,0
0,0,0,0,0.8,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.5,0,0,0,0,0,0,0,0,1
0,0,0.5,0,0,0,0,0,0,0,0,0,0
0.8,0,0,0,0,0.6,0,0.3,0,0,0,0,0
0,0,0,0,0.6,0,0.8,0,0.8,0,0,0,0
0,0,0,0,0,0.8,0,0,0,1,0,0,0
0,0,0,0,0.3,0,0,0,0,0,0,0,0
0,0,0,0,0,0.8,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0.7,0,0
0,0,0,0,0,0,0,0,0,0.7,0,0.9,0
0,0,0,0,0,0,0,0,0,0,0.9,0,0.9
0,0,1,0,0,0,0,0,0,0,0,0.9,0
0,0,0,0,0.75,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0.75,0,0,0,0,0,0,0,0,0.375
0,1,0.75,0,0,0,0,0,0,0,0,0,0
0.75,0,0,0,0,0.125,0,1,0,0,0,0,0
0,0,0,0,0.125,0,0.125,0,0,0,0,0,0
0,0,0,0,0,0.125,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.875,0,0
0,0,0,0,0,0,0,0,0,0.875,0,0.875,0
0,0,0,0,0,0,0,0,0,0,0.875,0,0.625
0,0,0.375,0,0,0,0,0,0,0,0,0.625,0
0,0,0,0,0.583333333,0,0,0,0,0,0,0,0
0,0,0,0.166666667,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.083333333
0,0.166666667,0,0,0,0,0,0,0,0,0,0,0
0.583333333,0,0,0,0,0.916666667,0,1,0,0,0,0,0
0,0,0,0,0.916666667,0,0.75,0,0.5,0,0,0,0
0,0,0,0,0,0.75,0,0,0,0.666666667,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0.5,0,0,0,0,0,0,0
0,0,0,0,0,0,0.666666667,0,0,0,0.166666667,0,0
0,0,0,0,0,0,0,0,0,0.166666667,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.083333333
0,0,0.083333333,0,0,0,0,0,0,0,0,0.083333333,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.75,0,0,0,0,0,0,0,0,1
0,0,0.75,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.25,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.25,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.5,0
0,0,0,0,0,0,0,0,0,0,0.5,0,0.5
0,0,1,0,0,0,0,0,0,0,0,0.5,0
0,0,0,0,0.071428571,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0.642857143,0,0,0,0,0,0,0,0,0.714285714
0,1,0.642857143,0,0,0,0,0,0,0,0,0,0
0.071428571,0,0,0,0,0.071428571,0,0,0,0,0,0,0
0,0,0,0,0.071428571,0,0.071428571,0,0.071428571,0,0,0,0
0,0,0,0,0,0.071428571,0,0,0,0.071428571,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.071428571,0,0,0,0,0,0,0
0,0,0,0,0,0,0.071428571,0,0,0,0.714285714,0,0
0,0,0,0,0,0,0,0,0,0.714285714,0,0.714285714,0
0,0,0,0,0,0,0,0,0,0,0.714285714,0,0.714285714
0,0,0.714285714,0,0,0,0,0,0,0,0,0.714285714,0
0,0,0,0,0.9375,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.21875,0,0,0,0,0,0,0,0,0.375
0,0,0.21875,0,0,0,0,0,0,0,0,0,0
0.9375,0,0,0,0,0.9375,0,1,0,0,0,0,0
0,0,0,0,0.9375,0,0.9375,0,0.9375,0,0,0,0
0,0,0,0,0,0.9375,0,0,0,0.9375,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0.9375,0,0,0,0,0,0,0
0,0,0,0,0,0,0.9375,0,0,0,0.625,0,0
0,0,0,0,0,0,0,0,0,0.625,0,0.5625,0
0,0,0,0,0,0,0,0,0,0,0.5625,0,0.46875
0,0,0.375,0,0,0,0,0,0,0,0,0.46875,0
0,0,0,0,0.857142857,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0
0.857142857,0,0,0,0,0.857142857,0,0.857142857,0,0,0,0,0
0,0,0,0,0.857142857,0,0.857142857,0,0.857142857,0,0,0,0
0,0,0,0,0,0.857142857,0,0,0,0.857142857,0,0,0
0,0,0,0,0.857142857,0,0,0,0,0,0,0,0
0,0,0,0,0,0.857142857,0,0,0,0,0,0,0
0,0,0,0,0,0,0.857142857,0,0,0,0.857142857,0,0
0,0,0,0,0,0,0,0,0,0.857142857,0,0.857142857,0
0,0,0,0,0,0,0,0,0,0,0.857142857,0,1
0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0.344827586,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0.689655172,0,0,0,0,0,0,0,0,0.551724138
0,1,0.689655172,0,0,0,0,0,0,0,0,0,0
0.344827586,0,0,0,0,0.344827586,0,0,0,0,0,0,0
0,0,0,0,0.344827586,0,0.413793103,0,0.413793103,0,0,0,0
0,0,0,0,0,0.413793103,0,0,0,0.413793103,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.413793103,0,0,0,0,0,0,0
0,0,0,0,0,0,0.413793103,0,0,0,0.448275862,0,0
0,0,0,0,0,0,0,0,0,0.448275862,0,0.448275862,0
0,0,0,0,0,0,0,0,0,0,0.448275862,0,0.517241379
0,0,0.551724138,0,0,0,0,0,0,0,0,0.517241379,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.117647059,0,0,0,0,0,0,0,0,0
0,0,0,0.882352941,0,0,0,0,0,0,0,0,1
0,0.117647059,0.882352941,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.294117647,0,0.823529412,0,0,0,0,0
0,0,0,0,0.294117647,0,0.235294118,0,0,0,0,0,0
0,0,0,0,0,0.235294118,0,0,0,0.294117647,0,0,0
0,0,0,0,0.823529412,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.294117647,0,0,0,0.764705882,0,0
0,0,0,0,0,0,0,0,0,0.764705882,0,0.941176471,0
0,0,0,0,0,0,0,0,0,0,0.941176471,0,0.882352941
0,0,1,0,0,0,0,0,0,0,0,0.882352941,0
0,0,0,0,0.739130435,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0.260869565,0,0,0,0,0,0,0,0,0
0,1,0.260869565,0,0,0,0,0,0,0,0,0,0
0.739130435,0,0,0,0,0.565217391,0,0.52173913,0,0,0,0,0
0,0,0,0,0.565217391,0,0.52173913,0,0.695652174,0,0,0,0
0,0,0,0,0,0.52173913,0,0,0,0.47826087,0,0,0
0,0,0,0,0.52173913,0,0,0,0,0,0,0,0
0,0,0,0,0,0.695652174,0,0,0,0,0,0,0
0,0,0,0,0,0,0.47826087,0,0,0,0.130434783,0,0
0,0,0,0,0,0,0,0,0,0.130434783,0,0.043478261,0
0,0,0,0,0,0,0,0,0,0,0.043478261,0,0.043478261
0,0,0,0,0,0,0,0,0,0,0,0.043478261,0
0,0,0,0,0.052631579,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0.947368421
0,1,1,0,0,0,0,0,0,0,0,0,0
0.052631579,0,0,0,0,0,0,0.105263158,0,0,0,0,0
0,0,0,0,0,0,0.105263158,0,0,0,0,0,0
0,0,0,0,0,0.105263158,0,0,0,0.263157895,0,0,0
0,0,0,0,0.105263158,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.263157895,0,0,0,0.736842105,0,0
0,0,0,0,0,0,0,0,0,0.736842105,0,0.789473684,0
0,0,0,0,0,0,0,0,0,0,0.789473684,0,0.894736842
0,0,0.947368421,0,0,0,0,0,0,0,0,0.894736842,0
0,0,0,0,0.952380952,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.952380952,0,0,0,0,0.952380952,0,0.952380952,0,0,0,0,0
0,0,0,0,0.952380952,0,0.904761905,0,1,0,0,0,0
0,0,0,0,0,0.904761905,0,0,0,0.761904762,0,0,0
0,0,0,0,0.952380952,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0.761904762,0,0,0,0.285714286,0,0
0,0,0,0,0,0,0,0,0,0.285714286,0,0.19047619,0
0,0,0,0,0,0,0,0,0,0,0.19047619,0,0.047619048
0,0,0,0,0,0,0,0,0,0,0,0.047619048,0
0,0,0,0,0.083333333,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0.75,0,0,0,0,0,0,0,0,0.5
0,1,0.75,0,0,0,0,0,0,0,0,0,0
0.083333333,0,0,0,0,0.083333333,0,0.083333333,0,0,0,0,0
0,0,0,0,0.083333333,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.083333333,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.083333333,0,0
0,0,0,0,0,0,0,0,0,0.083333333,0,0.333333333,0
0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.416666667
0,0,0.5,0,0,0,0,0,0,0,0,0.416666667,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.333333333,0,0,0,0,0,0,0,0,0.333333333
0,0,0.333333333,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,1,0,1,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0.5,0
0,0,0,0,0,0,0,0,0,0,0.5,0,0.333333333
0,0,0.333333333,0,0,0,0,0,0,0,0,0.333333333,0
0,0,0,0,0.37037037,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0.888888889,0,0,0,0,0,0,0,0,0.851851852
0,1,0.888888889,0,0,0,0,0,0,0,0,0,0
0.37037037,0,0,0,0,0.37037037,0,0,0,0,0,0,0
0,0,0,0,0.37037037,0,0.37037037,0,0.37037037,0,0,0,0
0,0,0,0,0,0.37037037,0,0,0,0.37037037,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.37037037,0,0,0,0,0,0,0
0,0,0,0,0,0,0.37037037,0,0,0,0.666666667,0,0
0,0,0,0,0,0,0,0,0,0.666666667,0,0.777777778,0
0,0,0,0,0,0,0,0,0,0,0.777777778,0,0.851851852
0,0,0.851851852,0,0,0,0,0,0,0,0,0.851851852,0
0,0,0,0,0.777777778,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.611111111,0,0,0,0,0,0,0,0,0.722222222
0,0,0.611111111,0,0,0,0,0,0,0,0,0,0
0.777777778,0,0,0,0,0.777777778,0,0.888888889,0,0,0,0,0
0,0,0,0,0.777777778,0,0.833333333,0,0.833333333,0,0,0,0
0,0,0,0,0,0.833333333,0,0,0,1,0,0,0
0,0,0,0,0.888888889,0,0,0,0,0,0,0,0
0,0,0,0,0,0.833333333,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0.888888889,0,0
0,0,0,0,0,0,0,0,0,0.888888889,0,0.777777778,0
0,0,0,0,0,0,0,0,0,0,0.777777778,0,0.722222222
0,0,0.722222222,0,0,0,0,0,0,0,0,0.722222222,0
0,0,0,0,0.4,0,0,0,0,0,0,0,0
0,0,0,0.9,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.9,0,0,0,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0.4,0,0.4,0,0,0,0,0
0,0,0,0,0.4,0,0.5,0,0.5,0,0,0,0
0,0,0,0,0,0.5,0,0,0,0.5,0,0,0
0,0,0,0,0.4,0,0,0,0,0,0,0,0
0,0,0,0,0,0.5,0,0,0,0,0,0,0
0,0,0,0,0,0,0.5,0,0,0,0.7,0,0
0,0,0,0,0,0,0,0,0,0.7,0,0.9,0
0,0,0,0,0,0,0,0,0,0,0.9,0,0.9
0,0,1,0,0,0,0,0,0,0,0,0.9,0
0,0,0,0,0.815789474,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.473684211,0,0,0,0,0,0,0,0,0.263157895
0,0,0.473684211,0,0,0,0,0,0,0,0,0,0
0.815789474,0,0,0,0,0.815789474,0,1,0,0,0,0,0
0,0,0,0,0.815789474,0,0.763157895,0,0.763157895,0,0,0,0
0,0,0,0,0,0.763157895,0,0,0,0.684210526,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0.763157895,0,0,0,0,0,0,0
0,0,0,0,0,0,0.684210526,0,0,0,0.447368421,0,0
0,0,0,0,0,0,0,0,0,0.447368421,0,0.368421053,0
0,0,0,0,0,0,0,0,0,0,0.368421053,0,0.342105263
0,0,0.263157895,0,0,0,0,0,0,0,0,0.342105263,0
